dur,sbytes,dbytes,Sload,swin,stcpb,smeansz,Sjit,Djit,Stime,Sintpkt,tcprtt,synack,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_dst_src_ltm,reconstruction_error,label
0.001,119,0,11.686887175419702,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,64.46587874693597,anomaly
0.001,119,0,11.686887175419702,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,64.46587874693597,anomaly
0.001,87,0,11.373674891823535,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,64.46587874693597,anomaly
1.9460546970367432,268,0,4.932418050830346,0,0,0.0,0.0,0.0,1.080466884411444,1.080466884411444,0.0,0.0,1,1,1,1,1,64.46587874693597,anomaly
0.001,167,0,12.025755079404917,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.001,103,0,11.542493975902508,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,64.46587874693597,anomaly
0.3019850254058838,661,0,7.691588443963281,12898,3550185989,4.183575695950044,0.12920408294782665,0.0,0.26389004249587833,0.07278218887483914,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.30011963844299316,206,0,6.5329060890151025,24577,2445428919,0.0,0.14205682277679443,0.0,0.26245628980456304,0.13981395773668118,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.29822802543640137,661,0,7.704101814199062,12898,2050576852,4.183575695950044,0.1252228496388672,0.0,0.26100027730318115,0.07190848954058676,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.2935030460357666,206,0,6.555167188284818,24577,348122200,0.0,0.14057862758636475,0.0,0.25735407752000405,0.1369331826110126,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.5110409259796143,660,0,7.164319441840538,12898,1281035638,4.180522258463153,0.13158134100369445,0.0,0.4127987682842338,0.12023356975016458,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.20689177513122559,206,0,6.904439441684792,24577,1616715949,0.0,0.06371700763702393,0.0,0.18804827374669467,0.09843790841724681,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.001,56,0,10.933124826700707,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,0,1,1,1,1,64.46587874693597,anomaly
0.42861104011535645,665,0,7.347636798639317,12898,213100260,4.1956970564823886,0.10649922314415697,0.0,0.35670267163506575,0.1017916388121174,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.001,112,0,11.626263078808801,0,0,0.0,0.0,0.0,0.0009995003330835331,0.0007900454216339805,0.0,0.0,0,1,1,1,1,64.46587874693597,anomaly
0.001,56,0,10.933124826700707,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,0,1,1,1,1,64.46587874693597,anomaly
0.20006275177001953,206,0,6.937971078703613,24577,1551931730,0.0,0.08631491661071777,0.0,0.1823738485683989,0.09533870292936372,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.19783973693847656,661,0,8.114351084193911,12898,3158562929,4.183575695950044,0.07855003243597836,0.0,0.1805197152340623,0.048275683498963516,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.18761634826660156,206,0,7.002142615201039,24577,175479056,0.0,0.0858011245727539,0.0,0.17194822961484313,0.08966534505428522,0.0,0.0,2,1,1,1,1,64.46587874693597,anomaly
0.001,103,0,11.542493975902508,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,64.46587874693597,anomaly
0.001,82,0,11.314486721293981,0,0,0.0,0.0,0.0,0.0009995003330835331,9.999500033330834e-05,0.0,0.0,1,1,1,1,1,64.46587874693597,anomaly
